GeneNames,D1,D2,D3,D4,D5,L1,L2,L3,L4,L5,U1,U2,U3,U4,U5
C12orf76,2.201103295,1.635819042,2.133078632,2.714969695,3.743980479,3.31046373,1.397387008,1.738005666,3.03882765,2.565993147,3.348592931,2.726499504,1.420259512,1.676108931,7.567579987
C13orf45,0.096506557,0,0,0,0.09040334,0,0,0.090490128,0,0.171007625,0,0,0,0,0
C14orf1,10.68640915,8.125764435,9.072442201,10.36221829,11.10763537,20.8497114,22.004448,18.32460349,25.38287318,24.83741403,18.91309272,21.98730319,24.06216099,18.10541715,17.54211513
C14orf101,2.749904868,1.931194555,2.754916886,3.718037316,3.442918866,2.158829268,2.747823789,1.561957679,1.598786505,1.757010086,2.362360083,3.394388098,3.121582362,1.85109758,2.356377139
C14orf105,0.089744951,0.04369789,0.04030382,0.042923201,0.084069348,0.040707224,0,0,0,0,0.157217763,0.076806138,0.122249868,0.041885504,0.038824268
C14orf119,11.44420299,11.51736891,9.935240584,9.775471286,11.25827026,34.99986374,30.15147623,22.86115556,30.42629792,30.2148699,13.84605362,14.21641196,10.74038771,11.18259048,11.59059294
C14orf132,0.074323921,0.043427047,0.080108028,0.056876214,0.111397707,2.953208974,1.02065003,0.961727601,2.286661822,2.015016926,24.56926139,27.61877023,21.63910254,20.17468362,34.84101975
C14orf142,7.284603762,4.853735648,6.801201063,8.618511669,8.529893414,12.26035122,12.45107655,15.18879877,15.34129697,9.935892035,16.62337205,19.35932678,14.44932451,9.125911069,12.02495858
C14orf159,9.959037984,9.386505298,9.865459114,14.33556888,15.53869052,5.810031042,4.397493853,3.90341507,6.606055455,6.582238966,11.64036745,9.646850974,7.473727145,8.040684078,7.259079229
C14orf166,75.07493886,80.83851783,87.37162548,84.43234693,72.73830407,98.46205984,95.93133914,112.3296751,109.575688,101.1987657,130.0153503,104.7293717,87.94918367,76.38449368,123.6016924
C14orf169,0.778324204,0.445853365,0.123367013,0.437949156,0.214441717,1.993628848,3.908282678,3.863656483,2.116957741,1.865941856,1.965030465,2.781991954,3.201470136,3.376155373,0.950705709
C14orf178,0,0.169921205,0,0.166908796,0,0.63316747,0.323805087,0.327221268,0,0.154595129,0.152837082,0.298664117,0.316916066,0.325747326,0.301939816
C14orf180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052802686
C14orf182,0.251793726,0.653874005,0.301543397,0.120427865,0.353804883,2.436492541,1.440727696,1.534626327,1.231416094,1.933417562,1.213023426,2.729563194,3.391804225,2.193640224,2.795809817
C14orf183,0,0,0.20767835,0.33176333,0.216597132,0,0.107270813,0.108402533,0.102799802,0,0,0,0,0,0
C14orf2,27.65976412,26.81655501,38.3646854,35.23859688,52.96752329,40.19204101,37.24778078,40.62446714,37.21888595,35.02444127,63.24899628,91.33609174,76.02269303,53.57924565,72.74782535
C14orf23,6.497245714,6.209458387,4.695729982,2.717257298,1.556973348,0.027414624,0.364519453,0.085007348,0.161227571,0.133871921,0.10587963,0.336217326,0.13721701,0.112832586,0.183025717
C14orf28,0.349097359,0.188866309,0.383233018,0.556554106,0.363355477,1.407523005,0.611842302,0.54555645,1.1381912,1.58084957,1.460945793,0.796711712,0.774950297,0.325859421,1.107493634
C14orf37,0.14629417,0.356161903,0.3613482,0.10495433,0.411126937,0.165893164,0.101806336,0.068586937,0.032521028,0.097211343,2.498752403,1.846736559,2.02602117,1.126586876,3.63905077
C14orf64,0.077311151,0,0.138879555,0.295810925,0.579375043,0,0,0,0,0,0.270871756,0.396989752,0.842501146,1.010308237,0.869578387
C14orf79,3.816961971,3.775127726,3.374773186,5.704924982,8.045036314,3.624967516,4.09502073,6.542867165,3.659183427,3.064746185,4.440362007,4.951029336,4.874470919,3.228862653,3.508892128
C14orf80,2.091478033,1.607945779,2.867238937,2.263863541,0.824930481,7.689212957,5.923988763,8.566870093,10.76687379,6.631889475,7.761705854,2.9204334,4.348466,4.623766982,4.333455575
C14orf93,2.032649574,1.889468089,2.11614876,2.38624854,2.163752083,13.82977881,4.200707464,6.237588369,10.92669206,10.80543921,2.87296132,1.265160783,2.307382751,3.190988769,3.197592152
C15orf26,0.214704111,0.069694666,0.064281394,0,0.067041969,0.064924791,0,0.13421266,0,0,0,0,0,0,0
C15orf27,0.093972204,0.137268568,0.126606747,0.134835034,0.088029264,0.042624655,0.043596933,0.22028443,0,0,0.041155796,0.120635902,0.085338799,0.131575306,0.040653006
C15orf32,0.130613741,0,0.117315406,0.06246992,0.122353536,0,0,0,0,0,0,0,0,0,0
C15orf37,0.48679315,0.579395434,1.020204946,0.517385231,1.013350304,0.441606966,0.501866809,0.8114585,0.577139003,0.383372181,0.94753124,2.129343305,1.22797372,1.110729607,1.169944345
C15orf38,6.215953579,4.918260937,3.788519381,3.928561339,2.859434067,4.027830481,2.368831106,1.821386723,3.109048663,3.048667702,3.694578728,2.184909625,2.772040331,5.12871603,1.920759441
C15orf39,14.86972677,11.7530049,11.45761034,13.00599184,15.02651774,19.79531516,27.71243447,25.8322232,18.33886234,23.25827317,11.3519251,14.49097786,15.14532358,14.75928981,5.0448571
C15orf40,5.135195272,6.240637754,6.937598492,6.820134715,7.434313255,5.544029621,5.197949425,5.252788398,7.321002462,6.354581552,4.237776391,6.319849659,5.434227557,3.92184573,4.332881835
C15orf41,12.8560099,9.874002411,7.560591658,7.393164493,6.594963577,4.269367006,4.686270765,4.663958264,5.987931437,5.356149225,6.434721317,7.204029919,7.748522509,5.142959826,3.409788101
C15orf48,13.36549987,16.01039317,23.37198639,11.42721018,4.099549591,0.107299629,0,0.110905005,0.105172935,0,0.103602052,0.101226138,0.107412266,0,0.10233637
C15orf52,40.6273219,39.89355636,25.52461266,23.64132907,16.61072708,3.973550796,2.297149996,2.361066995,2.709422225,4.724394636,28.52444345,34.62507802,29.97703535,22.71425651,11.93679698
C15orf54,0.036597292,0.106917953,0.032871167,0,0,0.166000887,0.509362222,0.240210158,0.162710725,0.12969929,0,0,0,0,0
